candidateId,value,universidad_homologada
630665b8594e18004af0522e,Ucv,Si
630665b8594e18004af05235,Certus,No
630665b8594e18004af05235,Ifb,No
630665b8594e18004af05240,Idat,No
630665b8594e18004af05247,Etsunp,No
630665b8594e18004af0524e,Universidad Norbert Wiener,Si
630665b8594e18004af0525c,Instituto Continental,No
630665b8594e18004af0525c,Institución Educativa Simón Bolívar,No
630665b8594e18004af05267,Certus,No
630665b8594e18004af0526f,Universidad Andina Néstor Cáceres Velásquez - Uancv,No
630665b8594e18004af0526f,Universidad Andina Néstor Cáceres Velásquez - Uancv,No
630665b8594e18004af0527b,Instituto Superior Tecnologico Privado Urusayhua,No
630665b8594e18004af05282,Universidad Peruana De Ciencias Aplicadas.,Si
630665b8594e18004af05289,Universidad Cesar Vallejo,Si
630665b8594e18004af05289,I.e.s.t.p. Juanjui,No
630665b8594e18004af05289,San Marcos 00503,No
630665b8594e18004af05294,Universidad San Ignacio De Loyola,Si
630665b8594e18004af05294,Trilce - Los Olivos,No
630665b8594e18004af0529e,Universidad Peruana De Ciencias Aplicadas,Si
630665b8594e18004af0529e,Saco Oliveros,No
630665b8594e18004af052a6,Universidad Autónoma Del Perú,Si
630665b8594e18004af052ad,Universidad Privada Del Norte,Si
630665b8594e18004af052b5,Universidad Tecnologica Del Perú,Si
630665b8594e18004af052b5,Universidad Nacional De Ingenieria,Si
630665b8594e18004af052ca,Universidad La Salle,Si
630665b8594e18004af052d1,Cetpro - Computec Millenium - Chosica,No
630665b8594e18004af052de,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af052ec,Universidad Nacional Del Altiplano,Si
630665b8594e18004af052f2,Adventista Miraflores,No
630665b8594e18004af052f9,Universidad Tecnológica Del Perú,Si
630665b8594e18004af052f9,Icpna,No
630665b8594e18004af05303,Universidad Privada Del Norte,Si
630665b8594e18004af05309,Cepea,No
630665b8594e18004af0530f,Universidad Nacional De Tumbes,Si
630665b8594e18004af05317,Universidad Andina Del Cusco,Si
630665b8594e18004af05320,Universidad Privada De Tacna,Si
630665b8594e18004af0532c,Universidad Nacional Del Callao - Unac,Si
630665b8594e18004af05336,Universidad Tecnologica Del Peru,Si
630665b8594e18004af0533d,I.e.s.t.p Lurin,No
630665b8594e18004af05354,Universidad Peruana Los Andes,Si
630665b8594e18004af05360,Instituto De Educación Superior Privado Certus,No
630665b8594e18004af05360,Instituto De Educación Superior Privado Certus,No
630665b8594e18004af05360,Instituto Global Pacífic,No
630665b8594e18004af05360,Instituto Global Pacífic,No
630665b8594e18004af0536c,Robert Owen,No
630665b8594e18004af05375,Sise,No
630665b8594e18004af05375,Universidad Andina Néstor Caceres Velázquez,No
630665b8594e18004af05388,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af05390,Ifb Certus,No
630665b8594e18004af05397,Universidad Peruana De Ciencias Aplicadas,Si
630665b8594e18004af05397,Universidad Peruana De Ciencias Aplicadas,Si
630665b8594e18004af053a0,Universidad Nacional De La Amazonia Peruana - Unap,Si
630665b8594e18004af053a8,Ipae,No
630665b8594e18004af053b1,Universidad San Ignacio De Loyola,Si
630665b8594e18004af053b1,Universidad Peruana Cayetano Heredia,Si
630665b8594e18004af053b1,Cimas,No
630665b8594e18004af053be,Universidad Continental,Si
630665b8594e18004af053c5,Certus,No
630665b8594e18004af053ce,Universidad Nacional Del Callao,Si
630665b8594e18004af053d9,Certus,No
630665b8594e18004af053df,Instituto Privado Certus,No
630665b8594e18004af053f3,Universidad De Lima,Si
630665b8594e18004af053f3,Santa Maria Eufrasia,No
630665b8594e18004af053fb,Universidad Peruana De Ciencias Aplicadas - Upc,Si
630665b8594e18004af053fb,Centro Peruano De  Estudios Bancarios - Cepeban,No
630665b8594e18004af05407,Isil,No
630665b8594e18004af0540e,Instituto Cultural Britanico,No
630665b8594e18004af0540e,Universidad Privada Del Norte,Si
630665b8594e18004af05418,Certus,No
630665b8594e18004af05421,Universidad Peruana De Ciencias Aplicadas - Upc,Si
630665b8594e18004af05427,Instituto Superior Tecnológico Público Cap.  Fap. José Abelardo Quiñones,No
630665b8594e18004af05431,Idat,No
630665b8594e18004af05449,Universidad Peruana De Ciencias Aplicadas,Si
630665b8594e18004af05451,Zegel Ipae,No
630665b8594e18004af05451,Fey Y Alegría N° 68,No
630665b8594e18004af0545a,Ifb Certus,No
630665b8594e18004af05463,Universidad Cesar Vallejo - Ucv,Si
630665b8594e18004af0546b,Universidad De Huanuco,Si
630665b8594e18004af05474,Universidad Católica Sede Sapientiae,Si
630665b8594e18004af0547b,Sise,No
630665b8594e18004af0547b,Instituto Peruano De Negocios,No
630665b8594e18004af0547b,Itforc,No
630665b8594e18004af05488,Universidad Nacional Enrique Guzmán Y Valle,Si
630665b8594e18004af05490,Universidad Tecnologica Del Peru,Si
630665b8594e18004af05497,Universidad Cesar Vallejo,Si
630665b8594e18004af054a1,Instituto Continental,No
630665b8594e18004af054a9,Ceprebanco,No
630665b8594e18004af054a9,Universidad César Vallejo,Si
630665b8594e18004af054b2,Universidad Nacional De La Amazonia Peruana,Si
630665b8594e18004af054b2,Icpna,No
630665b8594e18004af054c0,Universidad Privada Del Norte,Si
630665b8594e18004af054c7,Universidad Privada Del Norte,Si
630665b8594e18004af054ce,Universidad Nacional Federico Villareal,Si
630665b8594e18004af054d5,Certus,No
630665b8594e18004af054d5,Certus,No
630665b8594e18004af054d5,I.e.p American Whitman,No
630665b8594e18004af054de,Instituto  Metropolitano,No
630665b8594e18004af054e7,Universidad Andina Del Cusco,Si
630665b8594e18004af054f0,Isam,No
630665b8594e18004af054f9,Universidad Tecnológica Del Perú - Utp,No
630665b8594e18004af05501,Universidad Tecnológica De La S Andes,Si
630665b8594e18004af05508,Juan Bosco De Huanuco,No
630665b8594e18004af0550e,Universidad Nacional Pedro Ruiz Gallo,Si
630665b8594e18004af05516,Universidad Cesar Vallejo,Si
630665b8594e18004af0551e,Idat,No
630665b8594e18004af05529,instituto Superior Jhon A. Mackay,No
630665b8594e18004af05531,Certus,No
630665b8594e18004af05538,Ifb Certus,No
630665b8594e18004af05538,Ifb Certus,No
630665b8594e18004af05542,Juan Velasco Albarado,No
630665b8594e18004af05542,Certus,No
630665b8594e18004af0554a,Fundación Pachacútec,No
630665b8594e18004af05550,Universidad Continental,Si
630665b8594e18004af05557,Universidad Tecnológica Del Perú,Si
630665b8594e18004af0555e,Universidad Cesar Vallejo,Si
630665b8594e18004af0555e,Paul Muller,No
630665b8594e18004af05568,Certus,No
630665b8594e18004af0556f,Universidad Nacional Federico Villarreal,Si
630665b8594e18004af05576,Instituto San Ignacio De Loyola,No
630665b8594e18004af0557c,Universidad Privada Del Norte,Si
630665b8594e18004af05594,Certus,No
630665b8594e18004af055a1,Universidad Privada Del Norte,Si
630665b8594e18004af055a9,Instituto De Educacion Superior Tecnologico Privado Amazonico,No
630665b8594e18004af055b1,Utp,Si
630665b8594e18004af055b8,Universidad César Vallejo,Si
630665b8594e18004af055be,Upn,Si
630665b8594e18004af055c5,Universidad Privada Del Norte,Si
630665b8594e18004af055cc,Universidad Ricardo Palma,Si
630665b8594e18004af055d8,Universidad Nacional De La  Amazonia Peruana,Si
630665b8594e18004af055df,Universidad Nacional De La Amazonía Peruana,Si
630665b8594e18004af055e6,Isil,No
630665b8594e18004af055f4,Instituto Buen Pastor,No
630665b8594e18004af055f4,Ifb,No
630665b8594e18004af055f4,Universidad Catolica Sede Sapientea,Si
630665b8594e18004af05600,Universidad Privada Del Norte,Si
630665b8594e18004af05600,Colegio Emblemático Santa Rosa,No
630665b8594e18004af0560b,I S.t.p Maria Rosario Araoz Pinto,No
630665b8594e18004af05613,Universidad César Vallejo,Si
